"lon" "lat" "date" "t_max"
15.7499 50.7499 1950-08-21 21.3299995232373
15.7499 50.7499 1950-08-22 22.5599994957447
15.7499 50.7499 1950-08-23 25.8099994231015
15.7499 50.7499 1950-08-24 27.7399993799627
15.7499 50.7499 1950-08-25 21.819999512285
15.7499 50.7499 1950-08-26 23.3699994776398
15.7499 50.7499 1950-08-27 25.1399994380772
15.7499 50.7499 1950-08-28 24.6099994499236
15.7499 50.7499 1950-08-29 20.8299995344132
15.7499 50.7499 1950-08-30 16.7299996260554
15.7499 50.7499 1950-08-31 19.3499995674938
15.7499 50.7499 1950-09-01 12.5199997201562
15.7499 50.7499 1950-09-02 13.9699996877462
15.7499 50.7499 1950-09-03 10.9299997556955
15.7499 50.7499 1950-09-04 11.8399997353554
15.7499 50.7499 1950-09-05 13.6499996948987
15.7499 50.7499 1950-09-06 14.9799996651709
15.7499 50.7499 1950-09-07 14.9899996649474
15.7499 50.7499 1950-09-08 12.3399997241795
15.7499 50.7499 1950-09-09 10.5299997646362
15.7499 50.7499 1950-09-10 13.1099997069687
15.7499 50.7499 1950-09-11 16.65999962762
15.7499 50.7499 1950-09-12 16.7899996247143
15.7499 50.7499 1950-09-13 15.6799996495247
15.7499 50.7499 1950-09-14 19.6799995601177
15.7499 50.7499 1950-09-15 21.5699995178729
15.7499 50.7499 1950-09-16 18.3899995889515
15.7499 50.7499 1950-09-17 9.9899997767061
15.7499 50.7499 1950-09-18 11.9299997333437
15.7499 50.7499 1950-09-19 9.89999977871776
15.7499 50.7499 1950-09-20 8.48999981023371
15.7499 50.7499 1950-09-21 9.3599997907877
15.7499 50.7499 1950-09-22 8.29999981448054
15.7499 50.7499 1950-09-23 5.43999987840652
15.7499 50.7499 1950-09-24 4.14999990724027
15.7499 50.7499 1950-09-25 12.4899997208267
15.7499 50.7499 1950-09-26 15.3899996560067
15.7499 50.7499 1950-09-27 10.3699997682124
15.7499 50.7499 1950-09-28 8.05999981984496
15.7499 50.7499 1950-09-29 10.1199997738004
15.7499 50.7499 1950-09-30 16.4799996316433
15.7499 50.7499 1950-10-01 12.4799997210503
15.7499 50.7499 1950-10-02 9.15999979525805
15.7499 50.7499 1950-10-03 7.16999983973801
15.7499 50.7499 1950-10-04 8.79999980330467
15.7499 50.7499 1950-10-05 9.89999977871776
